Epoch,Loss,Accuracy
1,2.913778305053711,0.2451171875
2,2.2687764167785645,0.3740234375
3,1.8891066312789917,0.47265625
4,1.6515438556671143,0.5283203125
5,1.5340325832366943,0.544921875
6,1.4339944124221802,0.5634765625
7,1.378921627998352,0.58984375
8,1.3126245737075806,0.5947265625
9,1.2880921363830566,0.6064453125
10,1.2152431011199951,0.634765625
11,1.1557316780090332,0.6455078125
12,1.147457242012024,0.65234375
13,1.1097694635391235,0.6572265625
14,1.0774650573730469,0.662109375
15,1.0641546249389648,0.6630859375
16,1.027527093887329,0.6845703125
17,1.0246977806091309,0.654296875
18,1.0078729391098022,0.6826171875
19,0.9727146029472351,0.701171875
20,0.9598997831344604,0.6875
21,0.9362432956695557,0.7001953125
22,0.9472479224205017,0.701171875
23,0.918742299079895,0.6875
24,0.9045775532722473,0.705078125
25,0.8936352729797363,0.712890625
26,0.865082323551178,0.7265625
27,0.8721824884414673,0.7041015625
28,0.8594392538070679,0.720703125
29,0.8654463887214661,0.7236328125
30,0.8365828394889832,0.7314453125
31,0.8051795959472656,0.7451171875
32,0.8196302652359009,0.7275390625
33,0.8200445175170898,0.728515625
34,0.7981723546981812,0.7392578125
35,0.770919680595398,0.755859375
36,0.8076602220535278,0.736328125
37,0.7803573608398438,0.7568359375
38,0.7474722862243652,0.7685546875
39,0.7675443291664124,0.75390625
40,0.7299429178237915,0.7529296875
41,0.7430874109268188,0.74609375
42,0.6992224454879761,0.775390625
43,0.7070313692092896,0.771484375
44,0.727074146270752,0.76953125
45,0.7107603549957275,0.7919921875
46,0.6778246164321899,0.78515625
47,0.6751151084899902,0.7841796875
48,0.682632327079773,0.783203125
49,0.6516335010528564,0.7890625
50,0.6571143865585327,0.787109375
51,0.6646461486816406,0.787109375
52,0.6670769453048706,0.783203125
53,0.6360220313072205,0.7890625
54,0.6456111669540405,0.7900390625
55,0.6200909614562988,0.80078125
56,0.6335758566856384,0.80078125
57,0.6258477568626404,0.7998046875
58,0.6258063316345215,0.794921875
59,0.5995779037475586,0.810546875
60,0.6100307106971741,0.791015625
61,0.5674211978912354,0.83203125
62,0.5973804593086243,0.8125
63,0.5997620224952698,0.80078125
64,0.5818487405776978,0.8017578125
65,0.5689498782157898,0.810546875
66,0.5714876651763916,0.8115234375
67,0.5520155429840088,0.82421875
68,0.5505373477935791,0.8154296875
69,0.5502960681915283,0.830078125
70,0.5444760322570801,0.8310546875
71,0.5436734557151794,0.830078125
72,0.5422368049621582,0.8310546875
73,0.5168917179107666,0.8466796875
74,0.5080069899559021,0.8369140625
75,0.5071866512298584,0.8408203125
76,0.49818354845046997,0.8369140625
77,0.5274223685264587,0.828125
78,0.5032545328140259,0.83984375
79,0.5018531084060669,0.845703125
80,0.5299211740493774,0.8251953125
81,0.5341466069221497,0.830078125
82,0.48670780658721924,0.8427734375
83,0.4949184060096741,0.8388671875
84,0.48740631341934204,0.83203125
85,0.4968664348125458,0.8408203125
86,0.5084802508354187,0.830078125
87,0.4767363667488098,0.8466796875
88,0.47765055298805237,0.8515625
89,0.4840238690376282,0.84765625
90,0.4644627273082733,0.8466796875
